2025-03-16 21:19:25.374: metrics:	 acc	 nmi	 ari	 f1
2025-03-16 21:19:25.482: epoch0 Q1:	0.7922	0.4907	0.5272	0.7885
2025-03-16 21:19:25.835: epoch1 Q1:	0.7962	0.4939	0.5374	0.7923
2025-03-16 21:19:26.027: epoch2 Q1:	0.7957	0.4934	0.5376	0.7917
2025-03-16 21:19:26.221: epoch3 Q1:	0.8021	0.5020	0.5511	0.7976
2025-03-16 21:19:26.412: epoch4 Q1:	0.8058	0.5067	0.5597	0.8008
2025-03-16 21:19:26.625: epoch5 Q1:	0.8085	0.5098	0.5660	0.8029
2025-03-16 21:19:26.837: epoch6 Q1:	0.8072	0.5091	0.5629	0.8019
2025-03-16 21:19:27.032: epoch7 Q1:	0.8006	0.4999	0.5487	0.7959
2025-03-16 21:19:27.226: epoch8 Q1:	0.8001	0.5001	0.5482	0.7953
2025-03-16 21:19:27.424: epoch9 Q1:	0.8026	0.5026	0.5544	0.7973
2025-03-16 21:19:27.623: epoch10 Q1:	0.8065	0.5064	0.5624	0.8009
2025-03-16 21:19:27.822: epoch11 Q1:	0.8119	0.5134	0.5732	0.8059
2025-03-16 21:19:28.019: epoch12 Q1:	0.8124	0.5143	0.5747	0.8062
2025-03-16 21:19:28.220: epoch13 Q1:	0.8132	0.5159	0.5759	0.8072
2025-03-16 21:19:28.422: epoch14 Q1:	0.8151	0.5208	0.5804	0.8092
2025-03-16 21:19:28.626: epoch15 Q1:	0.8124	0.5172	0.5754	0.8067
2025-03-16 21:19:28.830: epoch16 Q1:	0.8144	0.5218	0.5786	0.8094
2025-03-16 21:19:29.031: epoch17 Q1:	0.8144	0.5231	0.5783	0.8097
2025-03-16 21:19:29.236: epoch18 Q1:	0.8144	0.5225	0.5781	0.8097
2025-03-16 21:19:29.441: epoch19 Q1:	0.8141	0.5210	0.5776	0.8094
2025-03-16 21:19:29.645: epoch20 Q1:	0.8117	0.5166	0.5734	0.8066
2025-03-16 21:19:29.855: epoch21 Q1:	0.8112	0.5153	0.5723	0.8061
2025-03-16 21:19:30.065: epoch22 Q1:	0.8102	0.5130	0.5704	0.8050
2025-03-16 21:19:30.276: epoch23 Q1:	0.8129	0.5167	0.5752	0.8078
2025-03-16 21:19:30.485: epoch24 Q1:	0.8149	0.5202	0.5791	0.8097
2025-03-16 21:19:30.699: epoch25 Q1:	0.8151	0.5201	0.5793	0.8100
2025-03-16 21:19:30.912: epoch26 Q1:	0.8164	0.5219	0.5813	0.8114
2025-03-16 21:19:31.128: epoch27 Q1:	0.8156	0.5217	0.5798	0.8108
2025-03-16 21:19:31.342: epoch28 Q1:	0.8164	0.5243	0.5812	0.8117
2025-03-16 21:19:31.560: epoch29 Q1:	0.8176	0.5277	0.5837	0.8130
2025-03-16 21:19:31.775: epoch30 Q1:	0.8176	0.5280	0.5834	0.8132
2025-03-16 21:19:31.993: epoch31 Q1:	0.8154	0.5257	0.5791	0.8112
2025-03-16 21:19:32.210: epoch32 Q1:	0.8144	0.5253	0.5778	0.8101
2025-03-16 21:19:32.427: epoch33 Q1:	0.8134	0.5231	0.5757	0.8091
2025-03-16 21:19:32.641: epoch34 Q1:	0.8149	0.5253	0.5792	0.8103
2025-03-16 21:19:32.856: epoch35 Q1:	0.8137	0.5229	0.5766	0.8090
2025-03-16 21:19:33.069: epoch36 Q1:	0.8127	0.5214	0.5751	0.8079
2025-03-16 21:19:33.286: epoch37 Q1:	0.8134	0.5218	0.5765	0.8086
2025-03-16 21:19:33.501: epoch38 Q1:	0.8137	0.5223	0.5770	0.8088
2025-03-16 21:19:33.715: epoch39 Q1:	0.8132	0.5214	0.5765	0.8082
2025-03-16 21:19:33.936: epoch40 Q1:	0.8132	0.5218	0.5762	0.8084
2025-03-16 21:19:34.154: epoch41 Q1:	0.8132	0.5224	0.5761	0.8085
2025-03-16 21:19:34.379: epoch42 Q1:	0.8124	0.5208	0.5745	0.8078
2025-03-16 21:19:34.603: epoch43 Q1:	0.8127	0.5214	0.5752	0.8080
2025-03-16 21:19:34.832: epoch44 Q1:	0.8112	0.5193	0.5728	0.8064
2025-03-16 21:19:35.058: epoch45 Q1:	0.8107	0.5189	0.5721	0.8058
2025-03-16 21:19:35.284: epoch46 Q1:	0.8112	0.5203	0.5731	0.8064
2025-03-16 21:19:35.510: epoch47 Q1:	0.8119	0.5236	0.5746	0.8073
2025-03-16 21:19:35.738: epoch48 Q1:	0.8117	0.5242	0.5738	0.8072
2025-03-16 21:19:35.958: epoch49 Q1:	0.8117	0.5255	0.5738	0.8073
2025-03-16 21:19:36.180: epoch50 Q1:	0.8112	0.5249	0.5728	0.8069
2025-03-16 21:19:36.405: epoch51 Q1:	0.8112	0.5248	0.5728	0.8068
2025-03-16 21:19:36.628: epoch52 Q1:	0.8114	0.5247	0.5734	0.8070
