2024-10-21 21:36:34.099: Contra(
  (encoder): Encoder(
    (gcn1): GCNConv(1870, 512)
    (gcn2): GCNConv(512, 256)
    (gcn3): GCNConv(256, 512)
    (gcn4): GCNConv(512, 1870)
    (s): Sigmoid()
    (activation): ReLU()
  )
  (rep_projector): MLP(
    (net): Sequential(
      (0): Linear(in_features=256, out_features=1024, bias=True)
      (1): PReLU(num_parameters=1)
      (2): Linear(in_features=1024, out_features=1024, bias=True)
    )
  )
)
2024-10-21 21:36:34.099: Namespace(dataset='acm', gpu=0, hidden=512, out_dim=256, pro_hid=1024, mask=0.4, rep=1, clu=1, pro=1, update_p=1, activation='relu', epochs=200, lr=0.0005, weight_decay=1e-06, n_clusters=3, n_input=1870)
2024-10-21 21:36:34.100: metrics:	 acc	 nmi	 ari	 f1
2024-10-21 21:36:35.079: epoch0 Q1:	0.9286	0.7544	0.8001	0.9285
2024-10-21 21:36:37.887: epoch1 Q1:	0.9289	0.7565	0.8009	0.9289
2024-10-21 21:36:40.712: epoch2 Q1:	0.9302	0.7590	0.8044	0.9303
2024-10-21 21:36:43.462: epoch3 Q1:	0.9349	0.7692	0.8167	0.9349
2024-10-21 21:36:46.246: epoch4 Q1:	0.9385	0.7771	0.8265	0.9384
2024-10-21 21:36:49.048: epoch5 Q1:	0.9379	0.7727	0.8245	0.9377
2024-10-21 21:36:51.860: epoch6 Q1:	0.9375	0.7694	0.8235	0.9374
2024-10-21 21:36:54.659: epoch7 Q1:	0.9382	0.7710	0.8252	0.9381
2024-10-21 21:36:57.545: epoch8 Q1:	0.9382	0.7707	0.8252	0.9380
2024-10-21 21:37:00.461: epoch9 Q1:	0.9375	0.7690	0.8235	0.9374
2024-10-21 21:37:03.438: epoch10 Q1:	0.9385	0.7734	0.8263	0.9383
2024-10-21 21:37:06.295: epoch11 Q1:	0.9392	0.7765	0.8281	0.9390
2024-10-21 21:37:09.233: epoch12 Q1:	0.9412	0.7807	0.8332	0.9411
2024-10-21 21:37:12.052: epoch13 Q1:	0.9412	0.7807	0.8332	0.9411
2024-10-21 21:37:14.838: epoch14 Q1:	0.9405	0.7799	0.8316	0.9404
2024-10-21 21:37:17.636: epoch15 Q1:	0.9405	0.7799	0.8316	0.9404
2024-10-21 21:37:20.518: epoch16 Q1:	0.9398	0.7777	0.8299	0.9396
2024-10-21 21:37:23.309: epoch17 Q1:	0.9388	0.7756	0.8273	0.9386
2024-10-21 21:37:26.149: epoch18 Q1:	0.9398	0.7789	0.8300	0.9396
2024-10-21 21:37:28.994: epoch19 Q1:	0.9392	0.7767	0.8283	0.9389
2024-10-21 21:37:31.848: epoch20 Q1:	0.9398	0.7788	0.8300	0.9395
2024-10-21 21:37:34.641: epoch21 Q1:	0.9395	0.7769	0.8291	0.9392
2024-10-21 21:37:37.442: epoch22 Q1:	0.9392	0.7772	0.8283	0.9388
2024-10-21 21:37:40.293: epoch23 Q1:	0.9402	0.7790	0.8309	0.9399
2024-10-21 21:37:43.141: epoch24 Q1:	0.9398	0.7778	0.8300	0.9395
2024-10-21 21:37:46.003: epoch25 Q1:	0.9402	0.7786	0.8309	0.9398
2024-10-21 21:37:48.850: epoch26 Q1:	0.9402	0.7786	0.8309	0.9398
2024-10-21 21:37:51.714: epoch27 Q1:	0.9415	0.7823	0.8343	0.9413
2024-10-21 21:37:54.516: epoch28 Q1:	0.9425	0.7853	0.8369	0.9423
2024-10-21 21:37:57.238: epoch29 Q1:	0.9438	0.7883	0.8402	0.9438
2024-10-21 21:38:00.016: epoch30 Q1:	0.9438	0.7886	0.8402	0.9438
