2024-11-05 21:51:06.459: Contra(
  (encoder): Encoder(
    (gcn1): GCNConv(3703, 512)
    (gcn2): GCNConv(512, 256)
    (gcn3): GCNConv(256, 512)
    (gcn4): GCNConv(512, 3703)
    (s): Sigmoid()
    (activation): ReLU()
  )
  (rep_projector): MLP(
    (net): Sequential(
      (0): Linear(in_features=256, out_features=1024, bias=True)
      (1): PReLU(num_parameters=1)
      (2): Linear(in_features=1024, out_features=1024, bias=True)
    )
  )
)
2024-11-05 21:51:06.460: Namespace(dataset='cite', gpu=0, hidden=512, out_dim=256, pro_hid=1024, mask=0.3, rep=1, clu=1, pro=1, update_p=1, activation='relu', epochs=200, lr=0.001, weight_decay=0.01, n_clusters=6, n_input=3703)
2024-11-05 21:51:06.460: metrics:	 acc	 nmi	 ari	 f1
2024-11-05 21:51:07.337: epoch0 Q1:	0.6823	0.4272	0.4299	0.6418
2024-11-05 21:51:08.594: epoch1 Q1:	0.6889	0.4371	0.4378	0.6389
2024-11-05 21:51:09.590: epoch2 Q1:	0.6760	0.4231	0.4228	0.6367
2024-11-05 21:51:10.633: epoch3 Q1:	0.6847	0.4335	0.4352	0.6427
2024-11-05 21:51:12.377: epoch4 Q1:	0.6841	0.4310	0.4309	0.6403
2024-11-05 21:51:13.325: epoch5 Q1:	0.6796	0.4284	0.4249	0.6370
2024-11-05 21:51:14.254: epoch6 Q1:	0.6841	0.4340	0.4338	0.6424
2024-11-05 21:51:15.186: epoch7 Q1:	0.6865	0.4356	0.4373	0.6459
2024-11-05 21:51:16.085: epoch8 Q1:	0.6838	0.4346	0.4348	0.6439
2024-11-05 21:51:16.954: epoch9 Q1:	0.6829	0.4344	0.4341	0.6427
2024-11-05 21:51:17.845: epoch10 Q1:	0.6814	0.4356	0.4349	0.6416
2024-11-05 21:51:18.765: epoch11 Q1:	0.6829	0.4370	0.4371	0.6429
2024-11-05 21:51:19.688: epoch12 Q1:	0.6844	0.4391	0.4396	0.6442
2024-11-05 21:51:20.603: epoch13 Q1:	0.6868	0.4404	0.4422	0.6462
2024-11-05 21:51:21.529: epoch14 Q1:	0.6859	0.4396	0.4419	0.6453
2024-11-05 21:51:22.434: epoch15 Q1:	0.6853	0.4418	0.4434	0.6450
