2024-11-03 19:18:35.362: Contra(
  (encoder): Encoder(
    (gcn1): GCNConv(1433, 512)
    (gcn2): GCNConv(512, 256)
    (gcn3): GCNConv(256, 512)
    (gcn4): GCNConv(512, 1433)
    (s): Sigmoid()
    (activation): ReLU()
  )
  (rep_projector): MLP(
    (net): Sequential(
      (0): Linear(in_features=256, out_features=1024, bias=True)
      (1): PReLU(num_parameters=1)
      (2): Linear(in_features=1024, out_features=1024, bias=True)
    )
  )
)
2024-11-03 19:18:35.365: Namespace(dataset='cora', gpu=0, hidden=512, out_dim=256, pro_hid=1024, mask=0.2, rep=1, clu=1, pro=1, update_p=1, activation='relu', epochs=200, lr=0.0001, weight_decay=0.01, n_clusters=7, n_input=1433)
2024-11-03 19:18:35.365: metrics:	 acc	 nmi	 ari	 f1
2024-11-03 19:18:35.988: epoch0 Q1:	0.6869	0.5145	0.4740	0.6704
2024-11-03 19:18:37.377: epoch1 Q1:	0.6902	0.5149	0.4770	0.6730
2024-11-03 19:18:37.943: epoch2 Q1:	0.6931	0.5167	0.4807	0.6753
2024-11-03 19:18:38.509: epoch3 Q1:	0.6976	0.5187	0.4872	0.6784
2024-11-03 19:18:39.057: epoch4 Q1:	0.7013	0.5217	0.4937	0.6811
2024-11-03 19:18:39.611: epoch5 Q1:	0.7038	0.5215	0.4966	0.6829
2024-11-03 19:18:40.149: epoch6 Q1:	0.7094	0.5284	0.5057	0.6873
2024-11-03 19:18:40.714: epoch7 Q1:	0.7109	0.5293	0.5074	0.6882
2024-11-03 19:18:41.288: epoch8 Q1:	0.7131	0.5333	0.5109	0.6902
2024-11-03 19:18:41.890: epoch9 Q1:	0.7116	0.5315	0.5102	0.6884
2024-11-03 19:18:42.436: epoch10 Q1:	0.7127	0.5324	0.5117	0.6889
2024-11-03 19:18:43.024: epoch11 Q1:	0.7142	0.5363	0.5134	0.6907
2024-11-03 19:18:43.588: epoch12 Q1:	0.7145	0.5366	0.5137	0.6913
2024-11-03 19:18:44.161: epoch13 Q1:	0.7160	0.5384	0.5160	0.6926
2024-11-03 19:18:44.669: epoch14 Q1:	0.7164	0.5392	0.5162	0.6928
2024-11-03 19:18:45.178: epoch15 Q1:	0.7171	0.5387	0.5164	0.6936
2024-11-03 19:18:45.683: epoch16 Q1:	0.7190	0.5414	0.5180	0.6956
2024-11-03 19:18:46.187: epoch17 Q1:	0.7212	0.5432	0.5224	0.6974
2024-11-03 19:18:46.713: epoch18 Q1:	0.7223	0.5437	0.5236	0.6980
2024-11-03 19:18:47.233: epoch19 Q1:	0.7230	0.5436	0.5247	0.6986
2024-11-03 19:18:47.746: epoch20 Q1:	0.7245	0.5452	0.5267	0.7004
2024-11-03 19:18:48.249: epoch21 Q1:	0.7245	0.5447	0.5268	0.7002
2024-11-03 19:18:48.756: epoch22 Q1:	0.7253	0.5454	0.5282	0.7007
2024-11-03 19:18:49.274: epoch23 Q1:	0.7253	0.5447	0.5283	0.7011
2024-11-03 19:18:49.782: epoch24 Q1:	0.7253	0.5446	0.5285	0.7010
2024-11-03 19:18:50.304: epoch25 Q1:	0.7245	0.5436	0.5280	0.7002
2024-11-03 19:18:50.812: epoch26 Q1:	0.7245	0.5426	0.5273	0.7005
2024-11-03 19:18:51.361: epoch27 Q1:	0.7245	0.5426	0.5273	0.7005
2024-11-03 19:18:51.919: epoch28 Q1:	0.7238	0.5409	0.5258	0.6999
2024-11-03 19:18:52.493: epoch29 Q1:	0.7238	0.5409	0.5258	0.6999
2024-11-03 19:18:53.062: epoch30 Q1:	0.7245	0.5413	0.5272	0.7003
2024-11-03 19:18:53.641: epoch31 Q1:	0.7256	0.5423	0.5287	0.7013
2024-11-03 19:18:54.199: epoch32 Q1:	0.7256	0.5421	0.5291	0.7012
2024-11-03 19:18:54.776: epoch33 Q1:	0.7260	0.5416	0.5301	0.7013
2024-11-03 19:18:55.354: epoch34 Q1:	0.7271	0.5426	0.5325	0.7018
2024-11-03 19:18:55.937: epoch35 Q1:	0.7267	0.5406	0.5320	0.7008
2024-11-03 19:18:56.540: epoch36 Q1:	0.7264	0.5396	0.5313	0.7004
2024-11-03 19:18:57.132: epoch37 Q1:	0.7256	0.5391	0.5310	0.6996
2024-11-03 19:18:57.715: epoch38 Q1:	0.7264	0.5395	0.5316	0.7007
2024-11-03 19:18:58.317: epoch39 Q1:	0.7260	0.5397	0.5312	0.7004
2024-11-03 19:18:58.913: epoch40 Q1:	0.7249	0.5405	0.5299	0.6997
2024-11-03 19:18:59.486: epoch41 Q1:	0.7227	0.5398	0.5266	0.6980
2024-11-03 19:19:00.060: epoch42 Q1:	0.7219	0.5397	0.5254	0.6976
2024-11-03 19:19:00.657: epoch43 Q1:	0.7197	0.5361	0.5202	0.6960
2024-11-03 19:19:01.254: epoch44 Q1:	0.7194	0.5361	0.5197	0.6958
2024-11-03 19:19:01.827: epoch45 Q1:	0.7194	0.5361	0.5195	0.6958
2024-11-03 19:19:02.400: epoch46 Q1:	0.7197	0.5361	0.5204	0.6964
2024-11-03 19:19:02.973: epoch47 Q1:	0.7201	0.5364	0.5214	0.6966
2024-11-03 19:19:03.545: epoch48 Q1:	0.7205	0.5367	0.5227	0.6967
2024-11-03 19:19:04.095: epoch49 Q1:	0.7216	0.5372	0.5256	0.6971
2024-11-03 19:19:04.657: epoch50 Q1:	0.7223	0.5377	0.5265	0.6978
2024-11-03 19:19:05.215: epoch51 Q1:	0.7219	0.5374	0.5261	0.6973
2024-11-03 19:19:05.796: epoch52 Q1:	0.7234	0.5368	0.5263	0.6988
2024-11-03 19:19:06.330: epoch53 Q1:	0.7227	0.5367	0.5252	0.6983
2024-11-03 19:19:06.897: epoch54 Q1:	0.7238	0.5382	0.5268	0.6993
2024-11-03 19:19:07.454: epoch55 Q1:	0.7245	0.5395	0.5285	0.6998
2024-11-03 19:19:08.013: epoch56 Q1:	0.7242	0.5392	0.5280	0.6995
2024-11-03 19:19:08.580: epoch57 Q1:	0.7238	0.5390	0.5272	0.6994
2024-11-03 19:19:09.139: epoch58 Q1:	0.7227	0.5382	0.5252	0.6990
2024-11-03 19:19:09.712: epoch59 Q1:	0.7227	0.5385	0.5250	0.6995
2024-11-03 19:19:10.280: epoch60 Q1:	0.7219	0.5376	0.5234	0.6990
2024-11-03 19:19:10.862: epoch61 Q1:	0.7208	0.5365	0.5215	0.6981
2024-11-03 19:19:11.427: epoch62 Q1:	0.7205	0.5360	0.5210	0.6977
2024-11-03 19:19:11.980: epoch63 Q1:	0.7216	0.5366	0.5226	0.6985
2024-11-03 19:19:12.540: epoch64 Q1:	0.7227	0.5372	0.5242	0.6994
2024-11-03 19:19:13.089: epoch65 Q1:	0.7227	0.5375	0.5259	0.6988
2024-11-03 19:19:13.646: epoch66 Q1:	0.7227	0.5375	0.5259	0.6988
2024-11-03 19:19:14.201: epoch67 Q1:	0.7223	0.5366	0.5245	0.6987
2024-11-03 19:19:14.756: epoch68 Q1:	0.7219	0.5362	0.5248	0.6981
2024-11-03 19:19:15.311: epoch69 Q1:	0.7208	0.5351	0.5229	0.6974
2024-11-03 19:19:15.886: epoch70 Q1:	0.7205	0.5348	0.5227	0.6970
2024-11-03 19:19:16.453: epoch71 Q1:	0.7216	0.5363	0.5246	0.6982
2024-11-03 19:19:17.011: epoch72 Q1:	0.7216	0.5365	0.5247	0.6982
2024-11-03 19:19:17.566: epoch73 Q1:	0.7216	0.5359	0.5245	0.6984
2024-11-03 19:19:18.134: epoch74 Q1:	0.7216	0.5356	0.5246	0.6981
2024-11-03 19:19:18.725: epoch75 Q1:	0.7216	0.5366	0.5239	0.6985
2024-11-03 19:19:19.330: epoch76 Q1:	0.7216	0.5386	0.5240	0.6991
2024-11-03 19:19:19.908: epoch77 Q1:	0.7219	0.5385	0.5245	0.6992
2024-11-03 19:19:20.480: epoch78 Q1:	0.7219	0.5382	0.5243	0.6994
2024-11-03 19:19:21.035: epoch79 Q1:	0.7212	0.5370	0.5235	0.6987
2024-11-03 19:19:21.571: epoch80 Q1:	0.7208	0.5367	0.5227	0.6985
2024-11-03 19:19:22.131: epoch81 Q1:	0.7205	0.5367	0.5223	0.6984
2024-11-03 19:19:22.716: epoch82 Q1:	0.7208	0.5370	0.5227	0.6987
2024-11-03 19:19:23.270: epoch83 Q1:	0.7208	0.5368	0.5227	0.6987
2024-11-03 19:19:23.842: epoch84 Q1:	0.7208	0.5383	0.5234	0.6989
2024-11-03 19:19:24.396: epoch85 Q1:	0.7212	0.5389	0.5232	0.6996
2024-11-03 19:19:24.959: epoch86 Q1:	0.7208	0.5384	0.5222	0.6994
2024-11-03 19:19:25.523: epoch87 Q1:	0.7205	0.5384	0.5221	0.6990
2024-11-03 19:19:26.110: epoch88 Q1:	0.7208	0.5385	0.5231	0.6991
2024-11-03 19:19:26.666: epoch89 Q1:	0.7208	0.5387	0.5235	0.6990
2024-11-03 19:19:27.161: epoch90 Q1:	0.7208	0.5382	0.5235	0.6989
2024-11-03 19:19:27.671: epoch91 Q1:	0.7208	0.5384	0.5234	0.6990
2024-11-03 19:19:28.174: epoch92 Q1:	0.7197	0.5366	0.5208	0.6981
2024-11-03 19:19:28.680: epoch93 Q1:	0.7194	0.5360	0.5203	0.6976
2024-11-03 19:19:29.180: epoch94 Q1:	0.7194	0.5364	0.5204	0.6977
2024-11-03 19:19:29.672: epoch95 Q1:	0.7197	0.5370	0.5210	0.6982
2024-11-03 19:19:30.183: epoch96 Q1:	0.7205	0.5375	0.5230	0.6982
2024-11-03 19:19:30.687: epoch97 Q1:	0.7197	0.5363	0.5223	0.6970
2024-11-03 19:19:31.199: epoch98 Q1:	0.7201	0.5366	0.5228	0.6974
2024-11-03 19:19:31.715: epoch99 Q1:	0.7208	0.5379	0.5246	0.6980
2024-11-03 19:19:32.229: epoch100 Q1:	0.7197	0.5364	0.5229	0.6966
2024-11-03 19:19:32.743: epoch101 Q1:	0.7201	0.5367	0.5228	0.6971
2024-11-03 19:19:33.251: epoch102 Q1:	0.7190	0.5363	0.5211	0.6965
2024-11-03 19:19:33.762: epoch103 Q1:	0.7190	0.5365	0.5213	0.6965
2024-11-03 19:19:34.269: epoch104 Q1:	0.7197	0.5376	0.5227	0.6973
2024-11-03 19:19:34.771: epoch105 Q1:	0.7205	0.5380	0.5238	0.6981
2024-11-03 19:19:35.290: epoch106 Q1:	0.7208	0.5380	0.5240	0.6984
2024-11-03 19:19:35.789: epoch107 Q1:	0.7212	0.5377	0.5235	0.6988
2024-11-03 19:19:36.308: epoch108 Q1:	0.7216	0.5374	0.5234	0.6991
2024-11-03 19:19:36.808: epoch109 Q1:	0.7208	0.5372	0.5223	0.6986
2024-11-03 19:19:37.307: epoch110 Q1:	0.7208	0.5376	0.5227	0.6987
2024-11-03 19:19:37.824: epoch111 Q1:	0.7186	0.5352	0.5204	0.6960
2024-11-03 19:19:38.334: epoch112 Q1:	0.7190	0.5358	0.5212	0.6964
2024-11-03 19:19:38.842: epoch113 Q1:	0.7197	0.5362	0.5225	0.6970
2024-11-03 19:19:39.358: epoch114 Q1:	0.7190	0.5357	0.5213	0.6965
2024-11-03 19:19:39.865: epoch115 Q1:	0.7190	0.5361	0.5207	0.6967
2024-11-03 19:19:40.388: epoch116 Q1:	0.7194	0.5368	0.5208	0.6972
2024-11-03 19:19:40.896: epoch117 Q1:	0.7194	0.5372	0.5216	0.6969
2024-11-03 19:19:41.424: epoch118 Q1:	0.7190	0.5366	0.5209	0.6964
2024-11-03 19:19:41.922: epoch119 Q1:	0.7194	0.5371	0.5219	0.6966
2024-11-03 19:19:42.438: epoch120 Q1:	0.7197	0.5363	0.5213	0.6971
2024-11-03 19:19:42.943: epoch121 Q1:	0.7205	0.5372	0.5222	0.6980
2024-11-03 19:19:43.471: epoch122 Q1:	0.7201	0.5371	0.5216	0.6979
2024-11-03 19:19:43.987: epoch123 Q1:	0.7201	0.5375	0.5217	0.6980
2024-11-03 19:19:44.499: epoch124 Q1:	0.7205	0.5383	0.5223	0.6983
2024-11-03 19:19:45.015: epoch125 Q1:	0.7205	0.5383	0.5223	0.6985
2024-11-03 19:19:45.524: epoch126 Q1:	0.7205	0.5383	0.5223	0.6985
2024-11-03 19:19:46.034: epoch127 Q1:	0.7201	0.5372	0.5218	0.6979
2024-11-03 19:19:46.543: epoch128 Q1:	0.7208	0.5371	0.5229	0.6983
2024-11-03 19:19:47.047: epoch129 Q1:	0.7212	0.5383	0.5230	0.6989
2024-11-03 19:19:47.549: epoch130 Q1:	0.7208	0.5378	0.5221	0.6987
2024-11-03 19:19:48.050: epoch131 Q1:	0.7212	0.5384	0.5225	0.6991
2024-11-03 19:19:48.554: epoch132 Q1:	0.7216	0.5393	0.5237	0.6992
2024-11-03 19:19:49.068: epoch133 Q1:	0.7219	0.5398	0.5245	0.6995
2024-11-03 19:19:49.578: epoch134 Q1:	0.7227	0.5411	0.5268	0.6999
2024-11-03 19:19:50.073: epoch135 Q1:	0.7234	0.5410	0.5283	0.7000
2024-11-03 19:19:50.581: epoch136 Q1:	0.7223	0.5403	0.5266	0.6994
2024-11-03 19:19:51.080: epoch137 Q1:	0.7242	0.5427	0.5286	0.7019
2024-11-03 19:19:51.586: epoch138 Q1:	0.7242	0.5443	0.5297	0.7020
2024-11-03 19:19:52.101: epoch139 Q1:	0.7245	0.5447	0.5300	0.7025
2024-11-03 19:19:52.601: epoch140 Q1:	0.7249	0.5453	0.5305	0.7030
2024-11-03 19:19:53.113: epoch141 Q1:	0.7253	0.5455	0.5304	0.7035
2024-11-03 19:19:53.603: epoch142 Q1:	0.7249	0.5454	0.5298	0.7032
2024-11-03 19:19:54.101: epoch143 Q1:	0.7242	0.5449	0.5288	0.7022
2024-11-03 19:19:54.618: epoch144 Q1:	0.7201	0.5402	0.5244	0.6972
2024-11-03 19:19:55.117: epoch145 Q1:	0.7201	0.5397	0.5243	0.6970
2024-11-03 19:19:55.610: epoch146 Q1:	0.7190	0.5393	0.5239	0.6959
2024-11-03 19:19:56.114: epoch147 Q1:	0.7197	0.5403	0.5249	0.6966
2024-11-03 19:19:56.621: epoch148 Q1:	0.7205	0.5398	0.5249	0.6971
2024-11-03 19:19:57.129: epoch149 Q1:	0.7197	0.5390	0.5231	0.6968
2024-11-03 19:19:57.636: epoch150 Q1:	0.7194	0.5399	0.5235	0.6965
2024-11-03 19:19:58.142: epoch151 Q1:	0.7182	0.5387	0.5222	0.6953
2024-11-03 19:19:58.646: epoch152 Q1:	0.7186	0.5389	0.5225	0.6956
2024-11-03 19:19:59.152: epoch153 Q1:	0.7201	0.5402	0.5236	0.6972
2024-11-03 19:19:59.658: epoch154 Q1:	0.7190	0.5386	0.5223	0.6957
2024-11-03 19:20:00.169: epoch155 Q1:	0.7201	0.5391	0.5241	0.6965
2024-11-03 19:20:00.675: epoch156 Q1:	0.7186	0.5373	0.5213	0.6953
2024-11-03 19:20:01.176: epoch157 Q1:	0.7182	0.5376	0.5212	0.6950
2024-11-03 19:20:01.675: epoch158 Q1:	0.7190	0.5386	0.5225	0.6956
2024-11-03 19:20:02.189: epoch159 Q1:	0.7194	0.5389	0.5227	0.6961
2024-11-03 19:20:02.693: epoch160 Q1:	0.7190	0.5391	0.5226	0.6959
2024-11-03 19:20:03.188: epoch161 Q1:	0.7186	0.5388	0.5222	0.6955
2024-11-03 19:20:03.701: epoch162 Q1:	0.7201	0.5396	0.5234	0.6972
2024-11-03 19:20:04.201: epoch163 Q1:	0.7212	0.5413	0.5260	0.6980
2024-11-03 19:20:04.700: epoch164 Q1:	0.7205	0.5399	0.5250	0.6968
2024-11-03 19:20:05.201: epoch165 Q1:	0.7205	0.5404	0.5253	0.6970
2024-11-03 19:20:05.699: epoch166 Q1:	0.7194	0.5388	0.5235	0.6959
2024-11-03 19:20:06.199: epoch167 Q1:	0.7197	0.5398	0.5237	0.6966
2024-11-03 19:20:06.710: epoch168 Q1:	0.7208	0.5417	0.5246	0.6984
2024-11-03 19:20:07.219: epoch169 Q1:	0.7208	0.5421	0.5244	0.6985
2024-11-03 19:20:07.724: epoch170 Q1:	0.7205	0.5409	0.5237	0.6976
2024-11-03 19:20:08.227: epoch171 Q1:	0.7205	0.5410	0.5245	0.6972
2024-11-03 19:20:08.739: epoch172 Q1:	0.7194	0.5396	0.5231	0.6963
2024-11-03 19:20:09.240: epoch173 Q1:	0.7186	0.5384	0.5214	0.6960
2024-11-03 19:20:09.740: epoch174 Q1:	0.7190	0.5386	0.5222	0.6962
2024-11-03 19:20:10.245: epoch175 Q1:	0.7194	0.5384	0.5226	0.6964
2024-11-03 19:20:10.760: epoch176 Q1:	0.7197	0.5392	0.5233	0.6967
2024-11-03 19:20:11.277: epoch177 Q1:	0.7201	0.5398	0.5250	0.6968
2024-11-03 19:20:11.790: epoch178 Q1:	0.7197	0.5394	0.5246	0.6964
2024-11-03 19:20:12.292: epoch179 Q1:	0.7197	0.5396	0.5247	0.6964
2024-11-03 19:20:12.799: epoch180 Q1:	0.7197	0.5396	0.5250	0.6959
2024-11-03 19:20:13.308: epoch181 Q1:	0.7205	0.5399	0.5257	0.6967
2024-11-03 19:20:13.808: epoch182 Q1:	0.7212	0.5414	0.5272	0.6975
